"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
W CALIFORNIA AV,1 BLOCK,1
W ILLINOIS,100 BLOCK,1
MAIN E ST,1900 BLOCK,1
UNIVERSITY,200 BLOCK,3
E MCHENRY ST,1 BLOCK,1
KETTERING PARK,1 BLOCK,2
E UNIVERSITY AV,1100 BLOCK,2
AMBER LN,1900 BLOCK,2
W SPRINGFIELD,900 BLOCK,3
E FLORIDA,1100 BLOCK,1
N GREGORY ST,1100 BLOCK,2
W HILL ST,1100 BLOCK,2
E UNIVERSITY,1600 BLOCK,2
CUNNINGHAM,500 BLOCK,3
W GREEN,700 BLOCK,3
E WASHINGTON ST,700 BLOCK,1
W UNIVERSITY,600 BLOCK,18
S HIGH CROSS RD,300 BLOCK,1
S BUSEY,500 BLOCK,2
,1,3
W HILL ST,1200 BLOCK,2
TRAILS DR,1 BLOCK,1
E FLORIDA,1200 BLOCK,7
W ELM ST,1 BLOCK,7
S GLOVER,600 BLOCK,1
ELLIS DR,1300 BLOCK,1
COLORADO E AV,1100 BLOCK,3
UNIVERSITY E AV,1 BLOCK,4
STOUGHTON,1 BLOCK,3
N LINCOLN AVE,1600 BLOCK,15
S SMITH RD,1 BLOCK,5
W GREEN BLK,1100 BLOCK,1
RAINBOWVIEW,1000 BLOCK,3
MAIN E ST,1500 BLOCK,2
UNIVERSITY AVE,300 BLOCK,1
NEVADA ST,800 BLOCK,2
E WINDOSR RD,1 BLOCK,1
N SPRINGFIELD AVE,1 BLOCK,1
W CLARK,900 BLOCK,3
E UNIVERSITY AV,200 BLOCK,6
ILLINOIS,1 BLOCK,16
S PHILO RD,2100 BLOCK,2
COTTAGE GROVE,1100 BLOCK,1
PERKINS AV,1 BLOCK,2
CEDAR ST,1 BLOCK,2
S BUSEY,400 BLOCK,3
E PENNSYLVANIA AVE,2200 BLOCK,2
E MUMFORD,800 BLOCK,2
LINCOLN AV,2200 BLOCK,1
S LINCOLN,300 BLOCK,3
UNIVERSITY,1100 BLOCK,2
E OREGON ST,800 BLOCK,2
N CUNNINGHAM AV,1 BLOCK,5
N BROADWAY AV,1 BLOCK,5
SPRINGFIELD,1300 BLOCK,6
W MAIN ST,800 BLOCK,2
KETTERING PARK DR,1 BLOCK,1
S MATHEWS,600 BLOCK,1
S PHILO DR,1 BLOCK,2
E COUNTRY CLUB RD,1 BLOCK,3
S PHILO RD,2000 BLOCK,6
E FLORIDA AV,2400 BLOCK,2
S DODSON DR,100 BLOCK,2
E MAIN ST,600 BLOCK,2
S GLOVER ST,600 BLOCK,4
AMBER LN,1700 BLOCK,1
PARK ST,1 BLOCK,11
ART BARTELL,1 BLOCK,2
W NEVADA ST,1 BLOCK,3
W LOCUST ST,300 BLOCK,2
E UNIVERSITY,1300 BLOCK,1
W GREEN ST,600 BLOCK,8
SPRINGFIELD W AV,1 BLOCK,1
S POPLAR ST,100 BLOCK,2
E CALIFORNIA,1 BLOCK,2
DIVISION AVE,1100 BLOCK,3
S VINE ST,400 BLOCK,20
E UNIVERSITY,2400 BLOCK,2
W ELM,100 BLOCK,2
S COTTAGE GROVE,2000 BLOCK,3
W WINDSOR RD,400 BLOCK,1
E LINCOLN AVE,1900 BLOCK,3
US 130,1 BLOCK,2
W PARK ST,500 BLOCK,70
MAIN,2300 BLOCK,1
CUNNINGHAM,2300 BLOCK,1
W OREGON,1100 BLOCK,2
W PARK S,600 BLOCK,2
W OHIO ST,800 BLOCK,2
E UNIVERSITY AVE,2000 BLOCK,1
N BUSEY,300 BLOCK,2
N LINCOLN,1300 BLOCK,33
W UNIVERSITY AV,1 BLOCK,19
W UNIVERSITY AVE,700 BLOCK,4
HOLMES,1 BLOCK,2
WINDSOR RD,1 BLOCK,15
TIMOTHY TRAIL,1 BLOCK,1
N SPRINGFIELD,1 BLOCK,1
PHILO RD,1 BLOCK,38
MAIN E ST,2200 BLOCK,2
PERKINS RD,800 BLOCK,7
E UNIVERSITY AVE,2100 BLOCK,3
S LINCOLN AVE,1100 BLOCK,3
HIGH CROSS RD,1 BLOCK,5
N VINE,200 BLOCK,20
S COTTAGE GROVE,2500 BLOCK,1
CUNNINGHAM,1800 BLOCK,1
ELM,1 BLOCK,2
N KENYON RD,1 BLOCK,4
E MAIN,100 BLOCK,4
S LIERMAN AVE,1 BLOCK,1
S LINCOLN AVE,1200 BLOCK,6
PATTON PL,1 BLOCK,2
S MATTHEWS,1 BLOCK,3
N LINVIEW,1900 BLOCK,1
W UNIVERSITY,1400 BLOCK,7
KILLARNEY,1000 BLOCK,3
SPRINGFIELD AV,900 BLOCK,5
BESLIN,1200 BLOCK,1
WINDSER,1 BLOCK,1
S JOHNSON,300 BLOCK,2
KILLARNEY ST,1 BLOCK,1
N SMITH RD,1 BLOCK,7
E MAIN ST,1900 BLOCK,1
N COLER AVE,300 BLOCK,2
S RACE,200 BLOCK,2
GLOVER,1 BLOCK,2
S DODSON,200 BLOCK,5
W SPRINGFIELD AVE,700 BLOCK,1
RAINBOW VIEW DR,2000 BLOCK,1
VINE ST,500 BLOCK,3
ABERCORN,13000 BLOCK,1
W IOWA ST,1 BLOCK,3
E WATER ST,200 BLOCK,1
VAWTER,2000 BLOCK,3
N GOODWIN AVE,1500 BLOCK,3
FAIRVIEW,800 BLOCK,1
AUSTIN DR,1000 BLOCK,1
S PHILO,1900 BLOCK,6
CUNNINGHAM AV,1800 BLOCK,12
GUARDIAN DR,500 BLOCK,1
N CUNNINGHAM,300 BLOCK,1
E WASHINGTON,800 BLOCK,2
S BROADWAY AVE,1 BLOCK,5
CUNNINGHAM AVE,2000 BLOCK,1
E GREEN ST,300 BLOCK,2
S ORCHARD ST,1 BLOCK,1
S PHILO RD,2500 BLOCK,18
S VINE ST,1800 BLOCK,1
INDIANA AVE,800 BLOCK,2
W OREGON ST,500 BLOCK,1
W PARK,1 BLOCK,1
MACARTHUR,800 BLOCK,1
E FLORIDA AVE,1 BLOCK,12
N LINCOLN,1200 BLOCK,3
S HIGHCROSS,100 BLOCK,6
US 150/US45,1 BLOCK,1
N RACE ST,400 BLOCK,4
W MAIN,1 BLOCK,3
NEVADA,1 BLOCK,7
E UNIVERSITY AVE,800 BLOCK,2
WILLOW RD,1800 BLOCK,3
MELROSE BLVD,1600 BLOCK,3
E HARDING DR,1200 BLOCK,6
FISHER CT,1 BLOCK,2
W PARK ST,1400 BLOCK,25
CUNNINGHAM AV,1900 BLOCK,8
N LINCOLN,1100 BLOCK,4
S PHILO,1800 BLOCK,14
S LIERMAN AV,1200 BLOCK,3
LINCOLN N AV,1 BLOCK,5
E KERR,600 BLOCK,3
N CUNNINGHAM,1000 BLOCK,1
W SPRINGFIELD,300 BLOCK,4
S HIGH CROSS,2600 BLOCK,1
BRADLEY,1 BLOCK,25
E MAIN,200 BLOCK,2
N CUNNINGHAM AVE,1600 BLOCK,2
URBANA,1 BLOCK,2
N VINE,100 BLOCK,6
S LINCOLN AVE,1300 BLOCK,1
COUNTRY CLUB RD,1 BLOCK,4
BRIARCLIFF,1400 BLOCK,1
E WATER ST,100 BLOCK,5
E WASHINGTON,2100 BLOCK,2
E KERR AV,1000 BLOCK,2
W CLARK,700 BLOCK,3
CUNNINGHAM,1900 BLOCK,1
W CHURCH ST,1 BLOCK,1
W BRADLEY AVE,900 BLOCK,2
S LINCOLN BLK,800 BLOCK,1
S BUSEY AV,400 BLOCK,2
S COTTAGE GROVE AVE,900 BLOCK,1
E UNIVERSITY AV,3100 BLOCK,4
E MICHIGAN,1 BLOCK,8
PARK,1 BLOCK,12
ROMINE,1 BLOCK,4
S ANDERSON,1600 BLOCK,2
KERR AV,800 BLOCK,5
W ANTHONY DR,1100 BLOCK,3
CRYSTAL LAKE DR,500 BLOCK,3
W STOUGHTON,1100 BLOCK,2
E FLORIDA AV,1200 BLOCK,4
RT 150,1 BLOCK,1
E OREGON,800 BLOCK,1
ANDERSON ST,1100 BLOCK,1
W FLORIDA,1 BLOCK,6
W ILLINOIS ST,300 BLOCK,6
LINCOLN S AV,1100 BLOCK,1
W GREEN ST,400 BLOCK,3
N GREGORY ST,100 BLOCK,2
S HUNTER,1600 BLOCK,2
W WATER ST,100 BLOCK,13
S VINE ST,600 BLOCK,6
HIGHCROSS RDS,100 BLOCK,2
E UNIVERSITY AV,100 BLOCK,3
E MAIN ST/N COTTAGE,1 BLOCK,2
E WASHINGTON ST,3200 BLOCK,2
E COLORADO,500 BLOCK,3
E MAIN ST,400 BLOCK,1
W NEVADA,1000 BLOCK,2
CUNNINGHAM AV,600 BLOCK,51
ANDERSON ST,1200 BLOCK,4
WASHINGTON ST,1500 BLOCK,2
SMITH,1 BLOCK,4
BRADLEY AV,1 BLOCK,9
W HIGH ST,600 BLOCK,2
W ILLINOIS,1100 BLOCK,7
SPRINGFIELD,1200 BLOCK,1
W FLORIDA AVE,200 BLOCK,1
LINCOLNWOOD DR,1600 BLOCK,1
LINCOLNWOOD,1500 BLOCK,2
W WASHINGTON,800 BLOCK,2
FAIRFIELD,2400 BLOCK,2
W WINDSOR RD,600 BLOCK,1
N ORCHARD ST,300 BLOCK,7
PENNSYLVANIA,1300 BLOCK,1
W WASHINGTON ST,1 BLOCK,1
S GLOVER,500 BLOCK,2
E EVERGREEN CT,600 BLOCK,2
N WILLOW RD,1600 BLOCK,6
S POPLAR ST,200 BLOCK,1
E UNIVERSITY AV,1600 BLOCK,4
W UNIVERSITY AVE,900 BLOCK,14
E FLORIDA,1600 BLOCK,8
E UNIVERSITY,1100 BLOCK,2
PERKINS,1 BLOCK,1
W UNIVERSITY,500 BLOCK,28
E MICHIGAN AV,1300 BLOCK,2
N LINCOLN AV,2000 BLOCK,20
,600,1
CUNNINGHAM,600 BLOCK,5
N LINCOLN AVE,200 BLOCK,1
LINCOLN,1100 BLOCK,1
SPRINGFIELD AV,700 BLOCK,1
S LINCOLN,1000 BLOCK,3
E MAIN ST,2300 BLOCK,11
S MATHEWS,400 BLOCK,4
S VINE,1100 BLOCK,3
S COTTAGE GROVE,800 BLOCK,1
LINCOLN,1200 BLOCK,1
BURKWOOD CT,1 BLOCK,1
W ELM,200 BLOCK,2
LANORE,1 BLOCK,5
N LINCOLN AV,2100 BLOCK,1
PHILO,900 BLOCK,1
S VINE,1200 BLOCK,1
CHURCH ST,1 BLOCK,5
FAIRVIEW,1100 BLOCK,2
S MCULLOUGH,200 BLOCK,2
N COTTAGE GROVE,100 BLOCK,3
S MATHEW,600 BLOCK,2
W FLORIDA AV,1100 BLOCK,1
S LINCOLN,600 BLOCK,1
VINE ST,900 BLOCK,3
W WINDSOR,800 BLOCK,4
E COLORADO,700 BLOCK,2
N BUSEY AV,700 BLOCK,1
OREGON,1 BLOCK,9
W MAIN,100 BLOCK,2
N GOODWIN AVE,700 BLOCK,3
W DELAWARE,600 BLOCK,1
N VINE ST,400 BLOCK,10
W FLORIDA AV,1200 BLOCK,1
N HIGHLANDS DR,1000 BLOCK,5
E WASHINGTON,1200 BLOCK,1
N HARVEY ST,400 BLOCK,1
CUNNINGHAM AVE,2400 BLOCK,1
SUNNYCREST,1 BLOCK,1
S MATHEWS AV,600 BLOCK,2
E STONE CREEK,2900 BLOCK,2
W OREGON ST,900 BLOCK,4
W SPRINGFIELD AVE,1400 BLOCK,1
CUNNINGHAM,1000 BLOCK,1
W BEARDSLEY AVE,1400 BLOCK,1
PHILO,1700 BLOCK,4
S BUSEY,1000 BLOCK,1
E TATMAN CT,3200 BLOCK,1
E WINDSOR RD,2500 BLOCK,1
RACE,1 BLOCK,39
N LINCOLN BL,1400 BLOCK,1
LINCOLN N AV,1600 BLOCK,1
S RACE,1 BLOCK,5
HIGHCROSS,1 BLOCK,5
S LINCOLN AVE,800 BLOCK,7
ELIOT DR,400 BLOCK,2
MITCHEM DR,1300 BLOCK,2
BROADWAY N AV,1500 BLOCK,2
LANTERN HILL DR,2100 BLOCK,3
CUNNINGHAM BL,1100 BLOCK,1
W UNIVERSITY,700 BLOCK,4
GREGORY PL,700 BLOCK,1
E KENYON RD,900 BLOCK,1
SQUIRE PL,2200 BLOCK,3
W GREEN,600 BLOCK,1
E FLORIDA AVE,1600 BLOCK,4
URBANA AV,500 BLOCK,3
N CUNNINGHAM,1900 BLOCK,5
S CEDAR,600 BLOCK,2
N LINCOLN,2100 BLOCK,1
W PENNSYLVANIA,1 BLOCK,7
N OAK ST,2500 BLOCK,2
CUNNINGHAM AV,1000 BLOCK,2
W ILLINOIS ST,400 BLOCK,7
SPRINGFIELD AV,500 BLOCK,3
N CUNNINGHAM AVE,1 BLOCK,8
W GREEN ST,300 BLOCK,2
S LYNN ST,1000 BLOCK,1
BUSEY AV,1 BLOCK,2
E MAIN ST,300 BLOCK,7
W UNIVERSITY AVE,1400 BLOCK,1
N LINCOLN,2000 BLOCK,3
E MICHIGAN,100 BLOCK,2
SHURTS,700 BLOCK,1
E UNIVERSITY,2100 BLOCK,7
W BESLIN ST,1400 BLOCK,2
COLER,1 BLOCK,14
E FLORIDA,1 BLOCK,5
S COTTAGE GROVE,1300 BLOCK,2
N GREGORY ST,1 BLOCK,5
W WATER ST,1 BLOCK,2
E UNIVERSITY AV,1 BLOCK,16
MICHIGAN AVE,1 BLOCK,2
US-150/US-45,800 BLOCK,1
CHURCH,800 BLOCK,1
W BRADLEY,1000 BLOCK,1
W UNIVERISITY AVE,900 BLOCK,1
SPRINGFIELD AV BLK,1200 BLOCK,1
US 150,600 BLOCK,1
N BROADWAY AV,200 BLOCK,8
E MCHENRY ST,1200 BLOCK,2
E STONE CREEK BL,2500 BLOCK,3
E GREEN,1 BLOCK,2
JOHNSON AV,300 BLOCK,1
W CLARK ST,1000 BLOCK,4
S BUSEY AV,300 BLOCK,2
SPRINGFIELD AVE,400 BLOCK,3
E GREEN ST,600 BLOCK,1
E OREGON ST,1100 BLOCK,2
N MCCULLOUGH,1 BLOCK,2
S GROVE ST,200 BLOCK,2
S PHILO RD,1300 BLOCK,1
LYNN,1 BLOCK,2
UNIVERSITY,800 BLOCK,1
ABERCORN ST,1300 BLOCK,1
GREEN ST,1 BLOCK,18
S ORCHARD,1 BLOCK,2
S LINCOLN AV,400 BLOCK,2
W SPRINGFIELD,400 BLOCK,2
N CUNNINGHAM,600 BLOCK,13
W WASHINGTON ST,100 BLOCK,2
BERINGER CR,1 BLOCK,1
W BRADLEY AVE,1400 BLOCK,2
RUTLEDGE DR,1500 BLOCK,1
DELMONT CT,1500 BLOCK,2
URBANA AV/E,1 BLOCK,1
MELROSE VILLAGE CR,1700 BLOCK,3
N RACE ST,300 BLOCK,1
S ZUPPKE DR,2100 BLOCK,2
LINCOLNWOOD DR,1 BLOCK,3
MELROSE VALLEY CT,1600 BLOCK,6
PARK W ST,500 BLOCK,2
BESLIN ST,1200 BLOCK,5
S ANDERSON ST,1600 BLOCK,1
FAIRLAWN DR,1 BLOCK,1
MAIN ST,1 BLOCK,18
S VINE,800 BLOCK,1
E CUNNINGHAM AV,1 BLOCK,3
W UNIVERSITY,900 BLOCK,13
N MATHEWS,300 BLOCK,2
S LYNN,1 BLOCK,1
E GREEN ST,400 BLOCK,5
W UNIVERSITY AVE,500 BLOCK,17
LANORE DR,1100 BLOCK,4
S SMITH RD,100 BLOCK,2
VINE,500 BLOCK,3
E UNIVERSITY,800 BLOCK,2
N LINCOLN AV,1300 BLOCK,38
W FLORIDA AVE,1 BLOCK,17
E PENNSYLVANIA AVE,900 BLOCK,2
VINE ST S BLK,400 BLOCK,1
E UNIVERSITY AV,2900 BLOCK,2
S BROADWAY,200 BLOCK,1
S COLER AVE,100 BLOCK,1
OBRIEN,1 BLOCK,1
WINDSOR RD,3000 BLOCK,1
N HIGH CROSS RD,400 BLOCK,1
W WASHINGTON ST,200 BLOCK,1
W ILLINOIS,800 BLOCK,1
UNIVERSITY AVE,1800 BLOCK,2
WALNUT,1 BLOCK,3
BRIGHTON DR,1 BLOCK,2
W SPRINGFIELD AVE,500 BLOCK,1
HARTLE,200 BLOCK,2
ILLINOIS ST,1 BLOCK,4
BRADLEY AVE,1400 BLOCK,1
KILLARNEY,600 BLOCK,3
COLORADO AVE,300 BLOCK,1
UNIVERSITY AV,500 BLOCK,1
E MUMFORD DR,700 BLOCK,1
ANTHONY,1 BLOCK,2
N LINCOLN AVE,1 BLOCK,40
S GROVE ST,100 BLOCK,1
E OREGON,1100 BLOCK,2
W STOUGHTON,800 BLOCK,1
LINCOLN AVE,1 BLOCK,17
JAMES CHERRY DR,1 BLOCK,1
FLORIDA DR,1 BLOCK,2
SOMERSET DR,1 BLOCK,2
W KENYON RD,1100 BLOCK,2
E COLORADO AVE,1100 BLOCK,6
W OREGON ST,700 BLOCK,2
N CUNNINGHAM AV,1600 BLOCK,1
W GRIGGS ST,500 BLOCK,6
SMITH N RD,1 BLOCK,1
W GREEN,400 BLOCK,3
E WASHINGTON ST,400 BLOCK,1
BERRINGER CR,3000 BLOCK,1
W MAIN,200 BLOCK,6
N LINCOLN AVE,3400 BLOCK,1
W UNIVERSITY AV,100 BLOCK,5
W ANTHONY DR,800 BLOCK,17
BURKWOOD DR,1 BLOCK,4
BROADWAY AV,1 BLOCK,2
E WASHINGTON,1300 BLOCK,4
WEBBER,800 BLOCK,2
VILLA LANE,1 BLOCK,1
W SPRINGFIELD AV,1000 BLOCK,2
OAKLAND AV,1 BLOCK,1
E WASHINGTON,2400 BLOCK,6
N CUNNINGHAM,1800 BLOCK,2
COLVER AVE,1 BLOCK,1
S COTTAGE GROVE AV,1800 BLOCK,2
E UNIVERSITY AVE,3700 BLOCK,1
WASCHER DR,900 BLOCK,1
W GREEN ST,1000 BLOCK,3
S RACE ST,1000 BLOCK,16
URBANA AVE,600 BLOCK,1
STOUGHTON ST,800 BLOCK,1
E MAIN,1 BLOCK,15
WINSOR,1 BLOCK,2
W ILLINOIS ST,600 BLOCK,4
E COUNTRY SQUIRE,2100 BLOCK,2
GOODWIN AV,1 BLOCK,3
HIGH CROSS RD,100 BLOCK,10
S VINE ST,300 BLOCK,6
S COTTAGE GROVE AVE,500 BLOCK,1
GOODWIN AVE,700 BLOCK,2
S GOODWIN,400 BLOCK,1
W IOWA ST,100 BLOCK,1
N GOODWIN AV,700 BLOCK,3
MITCHEM DR,1100 BLOCK,4
N SMITH RD,100 BLOCK,1
E BRADLEY AV,800 BLOCK,1
BROOKSTONE CT,1300 BLOCK,6
SILVER ST,1300 BLOCK,3
S RACE,2900 BLOCK,1
MONTGOMERY ST,1500 BLOCK,1
E UNIVERSITY AVE,1100 BLOCK,3
UNIVERSITY AVE,400 BLOCK,2
SPRINGFIELD W BLK,1400 BLOCK,1
W PARK,100 BLOCK,3
KENYON RD,1 BLOCK,3
US-150,1200 BLOCK,1
KERR,1000 BLOCK,2
W PARK ST,700 BLOCK,1
N LINCOLN,800 BLOCK,2
S BROADWAY AVE,100 BLOCK,1
W STOUGHTON ST,1 BLOCK,3
N MCCULLOUGH ST,500 BLOCK,3
E BRADLEY AVE,1300 BLOCK,2
S BUSEY AVE,200 BLOCK,1
S BUSEY,300 BLOCK,1
KINCH ST,1 BLOCK,2
N ORCHARD,1300 BLOCK,1
S HIGH CROSS RD,500 BLOCK,1
W ANTHONY DR,1 BLOCK,4
UNIVERSITY AVE,500 BLOCK,3
S LINCOLN BL,1100 BLOCK,2
LINCOLN N BLK,1900 BLOCK,2
IVANHOE WY,1300 BLOCK,3
W PARK,1300 BLOCK,2
W UNIVERSITY,1000 BLOCK,40
STONE CREEK BLVD,1800 BLOCK,2
W HIGH ST,700 BLOCK,2
E UNIVERSITY AVE,200 BLOCK,5
W HILL,900 BLOCK,2
STOUGHTON ST,1 BLOCK,3
E MAIN,800 BLOCK,1
S MATTHEW,700 BLOCK,2
S ANDERSON,2000 BLOCK,2
W DELAWARE,500 BLOCK,1
W PENNSYLVANIA AV,200 BLOCK,2
CUNNINGHAM AV,700 BLOCK,2
S LINCOLN,500 BLOCK,2
OAKLAND AV,800 BLOCK,17
SPRINGFIELD AVE,1400 BLOCK,2
LINCOLN N BL,1900 BLOCK,1
W BRADLEY AV,800 BLOCK,2
N BUSEY AVE,1100 BLOCK,2
CURETON DR,2000 BLOCK,1
LANTERN,1 BLOCK,2
N DIVISION,1000 BLOCK,2
DELAWARE AV,1 BLOCK,1
LINCOLN N BLOCK,1800 BLOCK,1
S RACE,2000 BLOCK,1
W SPRINGFIELD,1400 BLOCK,2
E COLORADO,1000 BLOCK,2
N BUSEY AV,1000 BLOCK,2
STOUGHTON BL,600 BLOCK,2
N BROADWAY AVE,100 BLOCK,1
W FLORIDA AV,100 BLOCK,1
N LINCOLN,1 BLOCK,48
E FLORIDA AVE,1200 BLOCK,5
W STOUGHTON ST,800 BLOCK,2
CUNNINGHAM,700 BLOCK,3
PHILO,1800 BLOCK,4
W GREEN,500 BLOCK,3
N COLER,1500 BLOCK,1
E FLORIDA AVE,1100 BLOCK,1
PENNSYLVANIA AVE,300 BLOCK,1
HUNTER ST,1600 BLOCK,4
W KILLARNEY ST,900 BLOCK,4
W PARK ST,300 BLOCK,3
N CUNNINGHAM AVE,2000 BLOCK,3
CUNNINGHAM AVE,200 BLOCK,1
S LIERMAN AV,1 BLOCK,1
E UNIVERSITY AV,2000 BLOCK,2
S PHILO,900 BLOCK,2
FIELDCREST,2500 BLOCK,2
SCOVILL ST,1 BLOCK,1
E WASHINGTON,3100 BLOCK,1
LANORE,1200 BLOCK,3
LINCOLN,1 BLOCK,163
S VINE,1 BLOCK,8
N LINCOLN AV,1600 BLOCK,24
E WINDSOR RD,1 BLOCK,11
E AIRPORT RD,1 BLOCK,4
E UNIVERSITY AV,2100 BLOCK,3
TRAILS DR,1600 BLOCK,1
E OREGON ST,100 BLOCK,2
N LINCOLN,3400 BLOCK,1
CALIFORNIA,700 BLOCK,3
LANORE AVE,1100 BLOCK,1
VANCE,2200 BLOCK,2
S GOODWIN AVE,1 BLOCK,4
E UNIVERSITY,1 BLOCK,31
W GREEN ST,900 BLOCK,8
ABBEY RD,1 BLOCK,1
W MAIN ST,100 BLOCK,16
W FLORIDA AVE,800 BLOCK,2
N COLER AV,1 BLOCK,6
SPRINGFIELD,1 BLOCK,41
VINE,400 BLOCK,1
N LINCOLN AVE,800 BLOCK,5
N COLER AVE,500 BLOCK,2
N MAPLE ST,300 BLOCK,2
E WINDSOR,1 BLOCK,5
BRADLEY AV,1100 BLOCK,1
W ILLINOIS,1 BLOCK,1
PRAIRIE GREEN,2400 BLOCK,11
COLORADO AVE,700 BLOCK,2
N CUNNINGHAM AVE,2700 BLOCK,2
WASHINGTON,3100 BLOCK,1
CUNNIGHAM,1 BLOCK,1
EADS ST,1100 BLOCK,1
N CUNNINGHAM,500 BLOCK,12
E FLORIDA AV,1 BLOCK,5
LINCOLN S AV,1 BLOCK,7
W CLARK ST,700 BLOCK,1
ANDERSON ST,1 BLOCK,5
N BROADWAY,200 BLOCK,7
N MATHEWS AVE,1 BLOCK,4
W UNIVERSITY AVE,400 BLOCK,7
S COTTAGE GROVE,200 BLOCK,1
W OREGON ST,300 BLOCK,1
E ILLINOIS ST,500 BLOCK,1
E GREEN ST,500 BLOCK,3
S COTTAGE GROVE AVE,1800 BLOCK,4
VINE N ST,200 BLOCK,5
DIVISION AV,800 BLOCK,4
N CUNNINGHAM,2200 BLOCK,4
W OREGON,1 BLOCK,1
S BROADWAY BL,700 BLOCK,1
E WASHINGTON ST,1400 BLOCK,8
W GREEN,1400 BLOCK,7
E WASHINGTON ST,1500 BLOCK,11
S HIGHCROSS RD,100 BLOCK,3
FLORIDA,1 BLOCK,51
S GREGORY BL,600 BLOCK,2
FRANKLIN ST,100 BLOCK,2
W NEVADA ST,1100 BLOCK,4
FLORIDA AVE,1 BLOCK,7
W MAIN ST,200 BLOCK,16
W KILLARNEY ST,700 BLOCK,2
W UNIVERSITY AVE,600 BLOCK,12
FIELDCREST DR,2700 BLOCK,2
PENNSYLVANIA,1 BLOCK,11
E OREGON ST,200 BLOCK,1
W NEVADA ST,1200 BLOCK,3
GRANGE,2400 BLOCK,1
SUMMIT,1 BLOCK,1
N GOODWIN,500 BLOCK,1
E UNIVERSITY AVE,3000 BLOCK,3
SMITH RD,2300 BLOCK,1
ANTHONY DR,1000 BLOCK,2
E FAIRLAWN DR,800 BLOCK,2
S LINCOLN,2600 BLOCK,1
S LINCOLN,1400 BLOCK,6
CLARK ST,700 BLOCK,2
CENTRAL AV,1 BLOCK,1
N LINCOLN AVE,2000 BLOCK,11
N CUNNINGHAM AV,1200 BLOCK,1
E MCHENRY ST,200 BLOCK,1
S WABACH,800 BLOCK,2
S PHILO DR,1200 BLOCK,1
N MAIN,200 BLOCK,1
UNIVERSITY,1 BLOCK,198
S LINCOLN,1500 BLOCK,2
US 150/US 45,1 BLOCK,3
N CUNNINGHAM AV,1100 BLOCK,4
W WINDSOR RD,900 BLOCK,1
AMBER,1 BLOCK,1
MELROSE,1600 BLOCK,4
HIGH ST,400 BLOCK,2
N LINCOLN AVE,2100 BLOCK,6
N BROADWAY,100 BLOCK,4
S BIRCH,400 BLOCK,3
W OHIO,800 BLOCK,3
E BERINGER,1 BLOCK,1
S VINE ST,900 BLOCK,4
COTTAGE GROVE,1 BLOCK,20
GREGORY ST,500 BLOCK,2
GREGORY N ST,900 BLOCK,1
POND,2200 BLOCK,1
CUNNINGHAM AV,900 BLOCK,5
CUNNINGHAM N BLK,500 BLOCK,1
EADS ST,1300 BLOCK,1
US45,1 BLOCK,1
UNIVERSITY AVE,1500 BLOCK,2
W WINDSOR,1 BLOCK,3
E WASHINGTON ST,2200 BLOCK,3
W FAIRVIEW,1100 BLOCK,1
E ILLINOIS,300 BLOCK,1
E UNIVERSITY AVE,100 BLOCK,5
SPRINGFIELD AV,400 BLOCK,2
MICHIGAN E AV,500 BLOCK,1
S COTTAGE GROVE AV,1400 BLOCK,4
PHILO,1900 BLOCK,2
N CUNNINGHAM,1500 BLOCK,2
COBBLE CREEK,1 BLOCK,1
E MICHIGAN AVE,1 BLOCK,1
CUNNINGHAM AVE,1600 BLOCK,2
W CLARK ST,900 BLOCK,2
WASHINGTON,200 BLOCK,1
W BRADLEY,900 BLOCK,2
N CUNNINGHAM,2800 BLOCK,1
S URBANA,300 BLOCK,1
N ROMINE ST,1300 BLOCK,1
E UNIVERSITY AVE,1600 BLOCK,1
N DIVISION AV,1100 BLOCK,1
N BROADWAY AVE,200 BLOCK,7
S GOODWIN AV,1 BLOCK,5
S MCCULLOUGH,100 BLOCK,2
W PENNSYLVANIA,800 BLOCK,2
E HARDING ST,1100 BLOCK,3
TATMAN CT,3100 BLOCK,3
RACE,800 BLOCK,2
GREENRIDGE RD,1 BLOCK,1
S LINCOLN AVE,1 BLOCK,48
OAK,1 BLOCK,1
BROADWAY,300 BLOCK,3
W UNIVERSITY,300 BLOCK,2
PLEASANT ST,1800 BLOCK,3
PHILO DR,1 BLOCK,1
W NEVADA BL,1000 BLOCK,2
W UNIVERSITY AV,1100 BLOCK,7
E STONE CREEK BLVD,2200 BLOCK,1
BRIGHTON BL,1100 BLOCK,2
W GREEN ST,700 BLOCK,3
S RACE ST,700 BLOCK,1
W KILLARNEY,1000 BLOCK,11
OAKLAND AVE,800 BLOCK,13
WINDSOR RD,1100 BLOCK,2
LINCOLN N AV,1300 BLOCK,4
