"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
FEDERAL DR,2000 BLOCK,1
E UNIVERSITY,500 BLOCK,1
W FLORIDA AVE,400 BLOCK,1
E COUNTRY SQUIRE DR,1900 BLOCK,2
DIVISION,800 BLOCK,2
W MAIN,1000 BLOCK,2
I-74 WB,1 BLOCK,1
N LINCOLN AVE,2300 BLOCK,1
UNIVERSITY AV,800 BLOCK,1
OREGON ST,1 BLOCK,5
N COLER AVE,1 BLOCK,1
N HIGH CROSS RD,1 BLOCK,2
N CUNNINGHAM AVE,1900 BLOCK,2
GREGORY,1 BLOCK,8
OBRIEN DR,1 BLOCK,2
W SPRINGFIELD AVE,800 BLOCK,3
S COLER,1 BLOCK,2
E COLORADO,1100 BLOCK,5
S BROADWAY AVE,300 BLOCK,18
N CUNNINGHAM,1 BLOCK,6
BURKWOOD,1000 BLOCK,1
W GREEN ST,200 BLOCK,9
WABASH AV,700 BLOCK,1
S VINE ST,1600 BLOCK,1
FAIRLAWN DR,400 BLOCK,1
S COTTAGE GROVE AV,1 BLOCK,2
BOUDREAU,1 BLOCK,2
CUNNINGHAM AV,1600 BLOCK,3
N WRIGHT ST,1200 BLOCK,6
FAIRVIEW,700 BLOCK,1
BOUDREAU CIRCLE,2200 BLOCK,1
E GREEN ST,1 BLOCK,6
SYCAMORE ST,1 BLOCK,1
E ILLINOIS ST,1 BLOCK,2
S WALNUT ST,700 BLOCK,2
N RACE,200 BLOCK,4
E MAIN ST,200 BLOCK,4
GLOVER AVE,400 BLOCK,2
UNIVERSITY AVE,1 BLOCK,20
WEBBER,500 BLOCK,2
E PERKINS RD,1500 BLOCK,1
KINGSTON DR,1600 BLOCK,2
SQUIRE CT,1100 BLOCK,2
N ROMINE,900 BLOCK,1
S MATHEWS AV,1 BLOCK,1
N LINCOLN AVE,1800 BLOCK,1
N WILLOW RD,1900 BLOCK,1
W MAIN ST,700 BLOCK,10
STOUGHTON ST,500 BLOCK,2
S LINCOLN,1 BLOCK,21
UNIVERSITY,1500 BLOCK,1
E FLORIDA,1900 BLOCK,1
S GOODWIN,1 BLOCK,5
JAMES CHERRY DR,1800 BLOCK,5
FLORIDA AVE,1700 BLOCK,1
KERR AVE,1000 BLOCK,2
UNIVERSITY,1400 BLOCK,2
MATHEWS,1 BLOCK,9
BEVERLY DR,1 BLOCK,1
OAKLAND AVE,600 BLOCK,4
S SMITH,1000 BLOCK,6
HILL ST,1 BLOCK,3
E MICHIGAN AVE,2200 BLOCK,1
N CUNNINGHAM AVE,600 BLOCK,11
CURTISS DR,1600 BLOCK,2
W NEVADA,1 BLOCK,2
HIGHCROSS RD,1 BLOCK,1
N RACE ST,200 BLOCK,9
N LINCOLN,500 BLOCK,7
W INDIANA AVE,800 BLOCK,2
GALENA ST,1900 BLOCK,1
ELM ST,100 BLOCK,4
E WASHINGTON ST,1 BLOCK,14
W GREEN,1 BLOCK,3
MILFORD DR,2700 BLOCK,1
S LIERMAN AV,500 BLOCK,4
FIELDCREST BL,2500 BLOCK,2
W ELM ST,700 BLOCK,5
HARVEY,100 BLOCK,1
N LINCOLN BLK,1400 BLOCK,2
RAINBOW VIEW,2200 BLOCK,1
WESTERN AVE,700 BLOCK,2
N CUNNINGHAM AVE,2200 BLOCK,2
E FLORIDA,1700 BLOCK,3
N LINCOLN,400 BLOCK,1
LINCOLNWOOD DR,1500 BLOCK,2
BROADWAY AV,500 BLOCK,2
UNIVERSITY AVE,800 BLOCK,2
LINCOLNWOOD,1600 BLOCK,1
COUNTRY CLUB,1 BLOCK,5
E WINDSOR,1800 BLOCK,3
BIRCH ST,300 BLOCK,2
N LINCOLN BLK,1500 BLOCK,2
S BUSEY AVE,900 BLOCK,2
S RACE,2200 BLOCK,1
GREEN ST,1400 BLOCK,2
W MAIN ST,300 BLOCK,2
PRAIRIE GREEN DR,2400 BLOCK,6
ANDERSON ST,1800 BLOCK,2
S COTTAGE GROVE AVE,1 BLOCK,3
S LINCOLN,800 BLOCK,3
FLORIDA CT,1 BLOCK,2
E COUNTRY CLUB RD,700 BLOCK,1
E OREGON ST,300 BLOCK,2
CURETON DR,2200 BLOCK,2
N GREGORY,100 BLOCK,1
W CHURCH,700 BLOCK,2
E SUNNYCREST CT,800 BLOCK,2
VINE ST,100 BLOCK,1
NEVADA,900 BLOCK,1
BEVERLY DR,800 BLOCK,2
KINCH,1 BLOCK,2
CENTRAL AVENUE,1 BLOCK,1
E WINDSOR RD,1800 BLOCK,12
HILL ST,800 BLOCK,4
S VINE,1800 BLOCK,1
E FLORIDA,1500 BLOCK,3
BRADLEY,900 BLOCK,2
CRYSTAL LAKE DR,200 BLOCK,6
N MCCULLOUGH ST,1 BLOCK,5
E FLORIDA,1400 BLOCK,1
OAK ST,1 BLOCK,3
S HIGH CROSS RD,1 BLOCK,5
E UNIVERSITY,1800 BLOCK,2
FLORIDA AV,1 BLOCK,5
E WASHINGTON ST,800 BLOCK,1
N LINCOLN,2300 BLOCK,6
W GREEN,800 BLOCK,2
S GOODWIN AV,600 BLOCK,2
E UNIVESITY,1100 BLOCK,3
FAIRLAWN DR,500 BLOCK,2
W GREEN ST,1200 BLOCK,4
S RACE ST,1200 BLOCK,3
N CUNNINGHAM AVE,1400 BLOCK,1
N CUNNINGHAM AVE,2600 BLOCK,1
ORCHARD,1600 BLOCK,1
E ILLINOIS,200 BLOCK,1
E COLORADO AV,1100 BLOCK,3
E MAIN ST,1100 BLOCK,1
W UNIVERSITY AVE,1 BLOCK,27
W UNIVERSITY AV,700 BLOCK,1
POPLAR,1 BLOCK,2
N CUNNINGHAM AVE,1500 BLOCK,1
W GREEN ST,1100 BLOCK,1
S RACE ST,1100 BLOCK,1
O'BRIEN DR,1 BLOCK,3
S BROADWAY AV,300 BLOCK,27
MUMFORD,1 BLOCK,3
E MICHIGAN AVE,1900 BLOCK,1
N MATHEWS AVE,400 BLOCK,1
MYRA RIDGE DR,1 BLOCK,4
E MAIN ST,1200 BLOCK,6
PHILO,1 BLOCK,16
E ANTHONY DR,400 BLOCK,3
WINDSOR E RD,1800 BLOCK,5
W FLORIDA AVE,500 BLOCK,1
KERR AV,1000 BLOCK,17
VINE,1 BLOCK,51
E COUNTRY SQUIRE,1900 BLOCK,1
BROADWAY N AV,1 BLOCK,2
S PHILO,1200 BLOCK,1
CUNNINGHAM AVE,1000 BLOCK,4
E MAPLE,1 BLOCK,1
S RACE,1500 BLOCK,3
CUNNINGHAM AV,1300 BLOCK,9
S HIGH CROSS,100 BLOCK,61
W SPRINGFIELD AVE,1 BLOCK,3
S COLER,800 BLOCK,2
MUMFORD E BLK,700 BLOCK,3
E UNIVERSITY,400 BLOCK,16
DIVISION,1 BLOCK,1
W UNIVERSITY,200 BLOCK,2
UNIVERSITY AV,1 BLOCK,32
EADS,1100 BLOCK,3
N COLER AVE,800 BLOCK,1
N LINCOLN AVE,500 BLOCK,10
W FLORIDA,900 BLOCK,2
STONE CREEK BLVD,1 BLOCK,1
PHILO ROAD,1 BLOCK,3
BEARDSLEY AV,1400 BLOCK,3
W WINDSOR RD,1300 BLOCK,2
W PARK ST,100 BLOCK,14
S VINE ST,2400 BLOCK,2
UNIVERSITY,600 BLOCK,5
LINCOLN AVE,500 BLOCK,1
S BROADWAY AVE,700 BLOCK,2
S VINE,400 BLOCK,9
N CUNNINGHAM,800 BLOCK,2
OLD US-150,1300 BLOCK,1
W ELM,500 BLOCK,1
S COTTAGE GROVE AV,800 BLOCK,3
S GOODWIN AVE,600 BLOCK,3
E UNIVERSITY,600 BLOCK,1
E FLORIDA AVE,700 BLOCK,1
CUNNINGHAM,1200 BLOCK,3
N GOODWIN AVE,100 BLOCK,1
WILEY DR,1500 BLOCK,2
W MAIN,700 BLOCK,2
W NEVADA ST,900 BLOCK,1
W GREEN ST,1300 BLOCK,3
N BROADWAY AVE,1000 BLOCK,1
E FLORIDA,500 BLOCK,1
BUTZOW DR,1600 BLOCK,2
E UNIVERSITY AVE,300 BLOCK,5
TREMONT ST,1300 BLOCK,1
E MAIN ST,1300 BLOCK,10
CUNNINGHAM,1100 BLOCK,3
S LINCOLN,2700 BLOCK,1
WABASH AV,1000 BLOCK,1
HARVEY ST,1 BLOCK,1
NORTH SHORE DR,2500 BLOCK,2
N LINCOLN AVE,2200 BLOCK,1
E GREEN,500 BLOCK,5
W VERMONT AVE,2100 BLOCK,2
E WASHINGTON ST,2500 BLOCK,2
S LINCOLN AV,800 BLOCK,2
W SPRINGFIELD AV,1300 BLOCK,1
MYRA RIDGE DR,2900 BLOCK,1
CRYSTAL LAKE,100 BLOCK,4
UNIVERSITY,400 BLOCK,5
ANTHONY,2200 BLOCK,1
GREEN,800 BLOCK,1
SPRINGFIELD AVE,800 BLOCK,3
CUNNINGHAM AV,1200 BLOCK,3
W BRADLEY AV,1400 BLOCK,2
LINCOLN S AV,600 BLOCK,2
E MAIN,1500 BLOCK,5
GREEN ST,500 BLOCK,2
W UNIVERSITY,100 BLOCK,3
S VINE ST,1200 BLOCK,8
S VAWTER ST,2000 BLOCK,3
SMITH RD,1 BLOCK,5
N LINCOLN,1900 BLOCK,6
CUNNINGHAM AV,1100 BLOCK,5
E WASHINGTON ST,2700 BLOCK,1
N CUNNINGHAM,2100 BLOCK,1
S SMITH RD,900 BLOCK,1
KILLARNEY,800 BLOCK,3
KERR AV,300 BLOCK,2
BROADWAY AVE,1 BLOCK,4
CUNNINGHAM BL,1000 BLOCK,2
W PARK ST,200 BLOCK,2
N BROADWAY AV,900 BLOCK,3
COLER N AV,1 BLOCK,2
N CUNNINGHAM,2000 BLOCK,6
S BUSEY AVE,700 BLOCK,1
FAIRVIEW AV,1100 BLOCK,3
BROADWAY S AV,300 BLOCK,3
N LINCOLN AV,1000 BLOCK,4
SOMER DR,900 BLOCK,3
W INDIANA,800 BLOCK,2
MELROSE PARK CT,1600 BLOCK,3
E OREGON,300 BLOCK,2
FLORIDA W AV,1 BLOCK,1
W ILLINOIS ST,800 BLOCK,2
DIVISION ST,1000 BLOCK,1
S ANDERSON ST,700 BLOCK,4
N LINCOLN AVE,1500 BLOCK,11
BLK US 150E,1800 BLOCK,1
COTTAGE GROVE,1800 BLOCK,2
BRADLEY AVE,1 BLOCK,6
LINCOLN,1900 BLOCK,1
HIGH CROSS,100 BLOCK,3
HARTLE AVE,100 BLOCK,3
S BROADWAY,700 BLOCK,5
W IOWA,800 BLOCK,1
S GREGORY ST,1 BLOCK,2
N LINCOLN AVE,2600 BLOCK,7
N LINCOLN AVE,1400 BLOCK,3
N CUNNINGHAM,2500 BLOCK,1
S LINCOLN AVE,400 BLOCK,2
PFEFFER RD,200 BLOCK,2
W ANTHONY DR,600 BLOCK,2
OREGON W ST,1 BLOCK,1
PHILO RD,900 BLOCK,2
US 45,1 BLOCK,4
W FLORIDA AVE,1400 BLOCK,1
N LINCOLN AVE,1700 BLOCK,2
E MICHIGAN AVE,400 BLOCK,3
W UNIVERSITY AV,900 BLOCK,4
S LINCOLN AV/W,1 BLOCK,1
N CUNNINGHAM,2700 BLOCK,2
E MAIN,2200 BLOCK,1
N LINCOLN,600 BLOCK,3
GLOVER AV,100 BLOCK,1
N GREGORY,200 BLOCK,3
URBANA AV,1 BLOCK,4
SPRINGFIELD AV,1 BLOCK,17
WEBBER S ST,1 BLOCK,1
LARCH PL,1800 BLOCK,2
S LIERMAN AVE,900 BLOCK,2
W MAIN ST,1000 BLOCK,6
CRYSTAL LAKE DR,100 BLOCK,2
N CUNNINGHAM AVE,500 BLOCK,9
MAIN ST,1500 BLOCK,2
FAIRLAWN DR,1500 BLOCK,2
E MICHIGAN AV,1800 BLOCK,2
LINCOLN AVE,1700 BLOCK,1
JAMES CHERRY DR,1700 BLOCK,1
GOODWIN,600 BLOCK,1
OBRIEN DR,900 BLOCK,2
W ILLINOIS ST,700 BLOCK,1
CUNNINGHAM,2200 BLOCK,2
HIGH,1 BLOCK,1
LANTERN HILL,2100 BLOCK,2
S HIGHCROSS RD,1 BLOCK,1
W FLORIDA,800 BLOCK,1
N BERINGER,1 BLOCK,1
POND ST,1 BLOCK,1
W KILLARNEY,600 BLOCK,3
S VINE,200 BLOCK,4
AMBER LN,1800 BLOCK,2
TATMAN CT,1 BLOCK,3
W WASHINGTON,1 BLOCK,2
ABERCORN ST,1 BLOCK,1
BRIGHTON DR,1200 BLOCK,2
PHILO RD,2700 BLOCK,7
N LINCOLN AVE,1100 BLOCK,3
S COTTAGE GROVE AV,900 BLOCK,1
S HIGH CROSS RD,1000 BLOCK,1
BROADWAY,400 BLOCK,2
HOLLYWOOD,1 BLOCK,1
W UNIVERSITY,400 BLOCK,31
E UNIVERSITY,200 BLOCK,16
N LINCOLN AVE,1200 BLOCK,1
N CUNNINGHAM AV,2000 BLOCK,2
FLORIDA AVE,100 BLOCK,1
PHILO RD,2500 BLOCK,33
OBRIEN,1100 BLOCK,1
W PARK ST,600 BLOCK,34
MELROSE PARK,1600 BLOCK,11
UNIVERSITY,100 BLOCK,1
S HARTLE AVE,100 BLOCK,1
OHIO ST,1 BLOCK,4
E WINDSOR,200 BLOCK,3
S VINE ST,2200 BLOCK,2
PERKINS,800 BLOCK,2
GALENA,1800 BLOCK,1
ANDERSON,600 BLOCK,1
W GREEN ST,500 BLOCK,1
S RACE ST,500 BLOCK,1
LANORE DR,1 BLOCK,2
MAIN ST,1200 BLOCK,1
VINE ST,1900 BLOCK,2
N BROADWAY,1 BLOCK,2
S MAPLE,200 BLOCK,2
N GOODWIN AVE,400 BLOCK,1
CURTISS DR,1500 BLOCK,2
E MAIN ST,500 BLOCK,1
KILLARNEY BL,800 BLOCK,1
S COTTAGE GROVE,1 BLOCK,5
